Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,Beden,M,,,,,,,,834793121-3,0.0,shopify,100,deny,manual,302.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,Beden,L,,,,,,,,834793121-4,0.0,shopify,100,deny,manual,302.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,Beden,XL,,,,,,,,834793121-5,0.0,shopify,100,deny,manual,302.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,Beden,2XL,,,,,,,,834793121-6,0.0,shopify,100,deny,manual,302.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,Beden,3XL,,,,,,,,834793121-7,0.0,shopify,100,deny,manual,302.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1901/prod/QC_ENRICHMENT/20260618/11/61d99d91-9d02-375a-87c4-6ee5674fc110/1_org_zoom.jpg,2,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1906/prod/QC_ENRICHMENT/20260618/11/ca75ca31-5a24-3dc2-876c-4ed52a0e7dba/1_org_zoom.jpg,3,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1918/prod/QC_ENRICHMENT/20260618/11/ab04c6f2-8048-39ef-aa71-f2a3697a8f49/1_org_zoom.jpg,4,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1900/prod/QC_ENRICHMENT/20260618/11/ba13823c-2986-3389-9beb-093789f7fd29/1_org_zoom.jpg,5,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1939/prod/QC_ENRICHMENT/20260618/11/f31df4d5-39bd-3eb9-a6ec-bbe929943fc2/1_org_zoom.jpg,6,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1904/prod/QC_ENRICHMENT/20260618/11/76285b2d-57a3-31db-8b18-3dcfce1e69b6/1_org_zoom.jpg,7,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1920/prod/QC_ENRICHMENT/20260618/11/48c0df4a-221a-3c77-8d44-11f0467b676c/1_org_zoom.jpg,8,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1931/prod/QC_ENRICHMENT/20260618/11/61199ec7-77b5-392a-bbdb-15242f0db144/1_org_zoom.jpg,9,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-bikini-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1915/prod/QC_ENRICHMENT/20260618/11/b8d99d79-13c9-3bdc-bcfb-556ee7154aba/1_org_zoom.jpg,10,Dominant Kadın Çamaşır Pamuklu Renkli BİKİNİ Külot 7'li Paket,,,,,,,,,,,,,
